timestamp,cash,positions_value,total_equity,peak,drawdown,returns
2026-03-18 00:57:21+00:00,10000.0,0.0,10000.0,10000.0,0.0,0.0
2026-03-18 00:58:55+00:00,9755.414075399996,244.5859246,9999.999999999996,10000.0,-3.637978807091713e-16,-3.3306690738754696e-16
2026-03-18 01:00:53+00:00,9669.713460099996,330.28653990000004,9999.999999999996,10000.0,-3.637978807091713e-16,0.0
2026-03-18 01:01:07+00:00,9358.967909799998,641.0320902,9999.999999999998,10000.0,-1.8189894035458566e-16,2.220446049250313e-16
2026-03-18 01:02:01+00:00,9225.306229699998,774.6937703,9999.999999999998,10000.0,-1.8189894035458566e-16,0.0
2026-03-18 01:04:11+00:00,9009.696486299992,990.3035136999999,9999.999999999993,10000.0,-7.275957614183426e-16,-5.551115123125783e-16
2026-03-18 03:34:01+00:00,8674.209905999996,1325.7900940000002,9999.999999999996,10000.0,-3.637978807091713e-16,4.440892098500626e-16
2026-03-18 03:34:35+00:00,8561.372433599998,1438.6275664000002,9999.999999999998,10000.0,-1.8189894035458566e-16,2.220446049250313e-16
2026-03-18 03:35:51+00:00,8475.083348399996,1524.9166516000003,9999.999999999996,10000.0,-3.637978807091713e-16,-2.220446049250313e-16
2026-03-18 03:36:01+00:00,8450.372835699996,1549.6271643000005,9999.999999999996,10000.0,-3.637978807091713e-16,0.0
2026-03-18 03:36:51+00:00,8284.7938357,1715.2061643000002,10000.0,10000.0,0.0,4.440892098500626e-16
2026-03-18 03:38:43+00:00,8163.914126200001,1836.0858738000006,10000.000000000002,10000.000000000002,0.0,2.220446049250313e-16
2026-03-18 04:37:21+00:00,8042.379665300002,1957.6203347000005,10000.000000000002,10000.000000000002,0.0,0.0
2026-03-18 04:37:31+00:00,7973.527732100001,2026.4722679000006,10000.000000000002,10000.000000000002,0.0,0.0
2026-03-18 04:39:11+00:00,7897.062797500001,2102.9372025000007,10000.000000000002,10000.000000000002,0.0,0.0
2026-03-18 04:39:43+00:00,7725.221249299999,2274.7787507000003,10000.0,10000.000000000002,-1.818989403545856e-16,-2.220446049250313e-16
2026-03-18 04:41:17+00:00,7556.439559299999,2443.5604407,10000.0,10000.000000000002,-1.818989403545856e-16,0.0
2026-03-18 05:54:13+00:00,7445.869397899999,2554.1306021000005,10000.0,10000.000000000002,-1.818989403545856e-16,0.0
2026-03-18 05:55:47+00:00,7351.092567499997,2648.9074325000006,9999.999999999998,10000.000000000002,-3.637978807091712e-16,-2.220446049250313e-16
2026-03-18 05:57:13+00:00,7237.736611999993,2762.2633880000003,9999.999999999993,10000.000000000002,-9.09494701772928e-16,-5.551115123125783e-16
2026-03-18 05:59:33+00:00,7165.656409499993,2834.3435905000006,9999.999999999993,10000.000000000002,-9.09494701772928e-16,0.0
2026-03-18 06:00:15+00:00,7128.237731299992,2871.7622687000007,9999.999999999993,10000.000000000002,-9.09494701772928e-16,0.0
2026-03-18 06:00:57+00:00,6986.563959199989,3013.4360408000007,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,-3.3306690738754696e-16
2026-03-18 08:29:59+00:00,6907.211816499989,3092.7881835000007,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,0.0
2026-03-18 08:30:41+00:00,6836.122595099989,3163.877404900001,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,0.0
2026-03-18 08:31:09+00:00,6784.395171899988,3215.6048281000008,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,0.0
2026-03-18 08:31:19+00:00,6766.569171899988,3233.4308281000012,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,0.0
2026-03-18 08:32:07+00:00,6745.713727599988,3254.286272400001,9999.999999999989,10000.000000000002,-1.2732925824820993e-15,0.0
2026-03-18 09:41:39+00:00,6691.7566943999855,3308.2433056000013,9999.999999999987,10000.000000000002,-1.4551915228366849e-15,-2.220446049250313e-16
2026-03-18 09:43:03+00:00,6652.011731199984,3347.988268800001,9999.999999999985,10000.000000000002,-1.6370904631912706e-15,-2.220446049250313e-16
2026-03-18 09:44:11+00:00,6152.982620199984,3847.017379800001,9999.999999999985,10000.000000000002,-1.6370904631912706e-15,0.0
