bootstrap_sample,total_net_profit_model_minus_random,mean_equal_capital_roi_model_minus_random,total_equal_capital_net_profit_model_minus_random
0,112243.06629934677,0.4244003479469569,-5545.348068925814
1,188396.6339789172,0.8053741433137196,8329.787980728877
2,139328.45818232273,1.895232496110677,20089.14261493258
3,228856.9084472881,1.2066871939536616,23281.066999732328
4,73506.70838010186,3.6438787735089804,778.3517127239484
5,32053.913390713686,1.6551379950273102,1619.37278890967
6,504995.0939020767,2.7813048352973686,48482.41759791398
7,-37810.80427598674,0.9312878503421116,-4501.618261394056
8,519148.178656921,1.5629347241853901,38866.52311413264
9,669871.2454780708,2.595812143971534,70754.81646178142
10,403902.44009649905,-0.04332478473061485,31931.36589646538
11,57380.25739330496,0.43830196169961155,1400.1423458349145
12,223521.37067419518,-0.9177835187245682,9654.52310748952
13,-56640.17091520957,0.8495993856073083,2024.1025366526428
14,509249.576319073,3.8813179674388683,52613.08996613206
15,410668.0475419114,2.5442241387202484,43701.15121489306
16,226700.51059131775,-0.9634535342627846,16346.236998839358
17,-26073.918982569186,0.46588921166992225,-11957.761926345589
18,211039.59716774116,0.2242984968271946,14704.366850284463
19,207742.90762409987,1.4808290198787715,10047.42701364847
20,303267.53542118485,2.5687072497011627,23087.80097880785
21,121627.67002370034,0.8145064433155964,-9441.717832537262
22,30033.832711276977,3.7345160057208995,1157.7966986472238
23,134298.7638715832,-1.0032642459773875,12382.688922865196
24,73194.43493505873,1.413847759257627,-5564.303358077443
25,46867.444870738895,5.077864623323965,8183.239592399686
26,224991.28194689215,0.11267653406499711,32557.828098115206
27,214573.5676310703,1.8393122598682954,27260.24256346342
28,-59683.17257254728,0.7626389284710697,3897.718804537395
29,394564.89121317223,1.4150447705912015,41460.57145250734
30,400994.17534625356,1.4489178710223687,48647.79286298991
31,76192.83491158637,4.109785894827272,3699.381980895385
32,463694.89606463286,2.6835024699329733,39831.58089355424
33,315718.59656991414,4.6760581862957515,36381.63213639905
34,325247.1942015862,1.8445130959008216,19609.722545359724
35,299324.8874545996,3.249526535725803,29149.854927961267
36,602196.7660524425,1.9033432759084814,60773.581530450014
37,354129.2537093238,4.345678773878872,31065.746090361954
38,524491.0989165371,4.854293519275224,50715.00877064992
39,148217.1111494071,2.436723176032836,-1691.2199506874567
40,336844.4442171459,0.932743446251159,37806.97590660244
41,67475.26398772706,3.8931063091426124,8771.840352302632
42,352513.20039990207,1.7610469132886855,21105.646919955296
43,196736.28251823277,2.8958529268900097,21843.734512891053
44,218089.37215791733,1.043417228221668,22872.396632614298
45,398162.45686743397,0.5381676052258939,42299.72286077673
46,50315.764483214065,2.619564233439032,-1303.1591928550679
47,283237.7387057183,-0.39584987731496835,12638.161473229375
48,276301.01948067656,2.1925261558699507,22401.735996155057
49,392042.12297815154,2.3513098793267355,38493.67237694644
50,324569.8132693129,2.067408120636066,45225.94343641485
51,812573.1333221344,0.8544223126543358,76284.93759530818
52,338688.8860181982,4.806675563816466,30240.26854220081
53,9984.694449137634,1.437974211687254,6073.616217635998
54,53115.02184129064,-2.648914595096123,7461.003285509203
55,650185.0326297643,2.3457300528381975,63157.82478601068
56,143773.34134542494,-0.3946287320070212,18208.991663308596
57,276923.138519075,4.000009137743428,26776.955400098996
58,322872.70647734066,3.8948944116136994,26436.719297484105
59,601549.3381400141,1.9849376576496338,60577.030620454134
60,112178.11285656074,1.4303450590096594,9796.892362587518
61,238879.83443307015,0.15262320741902347,9933.502244794341
62,-150495.86786323262,-1.3915445759441427,-2221.770532173028
63,153942.0415640552,3.373568776320443,6799.0206195564115
64,426518.0077147294,0.04706121791240303,27332.322379821544
65,294677.0925313218,1.8270992086617963,26248.377251799877
66,16969.480265701306,3.076275116561166,4486.427238333934
67,157013.13428870117,-0.3088179167531431,6312.207195013605
68,356278.4529298748,-0.5197153293013539,29034.187109929524
69,682839.1954063105,2.6583875641026733,61959.56126077153
70,-168298.357849104,-3.0310255607181045,-11103.320052748259
71,159189.38946215337,-0.253750172272011,6319.1332601184695
72,325290.96780586336,1.6544576888129878,39918.36136938349
73,332812.2827737287,2.244200729389975,17581.216452224504
74,162455.47235612944,0.7711134570327225,6511.652818219292
75,365477.07817922265,1.0202905349208908,41319.81315054242
76,426070.82163001836,2.2309478731325507,45745.032387621744
77,488990.2049725363,1.1740131193969914,29560.61466293194
78,155510.22663884255,-0.8600273706792079,10752.847998357065
79,182885.0749723091,2.862929327828612,26268.797603377156
80,284382.4292385628,1.8898890002836541,19889.376095101652
81,350469.43243268586,3.0713862424891856,20134.0018040333
82,200743.36815679504,2.656146580555493,-7998.114956554848
83,311130.09588844463,3.8131274355034126,30354.58469242057
84,234376.13301196398,1.6934561813753275,20212.917489905223
85,699803.0248869066,4.057396113113836,73567.35674666782
86,590775.4616475122,2.0151593650323134,60339.37555899497
87,-84261.17668152414,1.4580537860075609,1517.8932115702555
88,490838.90118726395,3.341881580148663,50294.84645155817
89,7582.533160379215,0.27223749398284536,16763.339545774023
90,168289.12981784088,0.5119589391697943,19968.29178097359
91,100834.58645813103,1.1853862660547696,23227.654299010777
92,175250.23866668693,0.0648564079707965,23209.7117595045
93,-11685.069998015591,1.7915053149460078,-822.5669274310749
94,305982.6950482534,3.3910323335829875,25292.57208589777
95,-157712.2397959265,2.0243933540008,-101.19613208865849
96,387576.9499058266,1.5211016430766433,48883.54407169993
97,-43826.58912505378,-0.5505795759264958,4006.793012353697
98,-41929.986659253686,0.33205006531466186,-3629.281045382748
99,-29048.277371842705,0.6963266610956849,6569.583562653441
100,413200.10084399907,-0.7237523342049226,34534.190466102955
101,22654.870581072668,4.005960639686792,10322.661607742086
102,609644.0513230744,2.660898180392386,60269.59005076598
103,126963.01215362092,3.674433174858858,3740.126762629856
104,274083.59870452655,1.3188352818964884,16822.608827100856
105,267804.0566167146,3.90231535928411,28493.25590381114
106,-128732.22661373543,-0.026895535922568214,-15587.50599061491
107,80880.46098563672,1.3782108740077863,-3487.236377606838
108,658121.4114213078,1.0816685131524624,62517.40829956279
109,296595.0230496642,3.160437359078607,31017.645028911305
110,277805.7401894405,1.565350869631268,25856.034998354153
