fold,seed_index,seed,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi
1,0,20000,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,32,37,3700.0,378.90230540000005,0.10240602820971344,5,0,0,36,0,0.84375,-87.53304379485661,-0.2310174423253382,0.014419169431202743,-13.357131508810184,24,0.2639202733127524,0.1536811683127472,6.506978122166282,,-0.23101744842235683,378.90230540000005,True,-87.53304379485661,-0.23101744842235683
1,1,20001,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,20,24,2400.0,1555.9202434000001,0.6483000987154163,4,0,0,12,0,0.4,17140.338769090555,11.016206474358471,0.021923858107898334,12.885502478801628,17,0.12854129306972678,0.08404143979601912,11.898891813695082,,11.016206545160342,378.90230540000005,True,4174.066056723824,11.016206545160344
1,2,20002,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,33,34,3400.0,2811.1866735,0.8268196074211187,1,0,0,8,0,0.45454545454545453,16551.88192317652,5.887862951374328,0.141071776966375,12.57365379455132,20,0.3201494971799495,0.15357393474976985,6.511521643496203,,5.887862972318732,378.90230540000005,True,2230.9248540908643,5.887862972318732
1,3,20003,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,56,58,5800.0,4634.5473667,0.7990598894326554,2,0,0,16,0,0.5892857142857143,8988.01467261845,1.9393511258090343,0.06664641207869657,14.724865361438177,36,0.15103956106471528,0.055745007128062685,17.938826300671302,,1.9393511299935877,378.90230540000005,True,734.8246141346656,1.9393511299935877
1,4,20004,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,71,74,7400.0,6148.755302599999,0.8309128776068744,3,0,0,18,0,0.7605633802816901,113245.01626342215,18.41755127763192,0.01789282949805681,19.818980254444007,36,0.13010763327363511,0.05228893560468486,19.1245048007901,,18.417551307585217,378.90230540000005,True,6978.452650266824,18.417551307585217
1,5,20005,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,111,122,12200.0,9452.435758651583,0.7747898156478431,9,2,0,30,3,0.5225225225225225,34778.248714647474,3.6792896101962818,0.0847438711621196,13.688665057411331,21,0.30679922869041465,0.1903057157641839,5.254702918325078,,3.6792896140887064,378.90230540000005,True,1394.0913170124873,3.6792896140887064
1,6,20006,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,41,42,4200.0,3362.334971,0.800555943570105,1,0,0,13,0,0.6585365853658537,20502.906296077526,6.097817859296014,0.06946342801605175,13.351874309693743,22,0.14870618314727096,0.08834492580291661,11.31926922697111,,6.0978178774316785,378.90230540000005,True,2310.477251668198,6.0978178774316785
1,7,20007,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,96,132,13200.0,3629.3522508723036,0.2749509278880905,33,3,0,101,5,0.40625,61595.66814710142,16.971532030979294,0.10044338228158012,95.87622280466034,48,0.2588057465203456,0.09869039777030954,10.132698039452471,,16.97153207774117,378.90230540000005,True,6430.552630426182,16.97153207774117
1,8,20008,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,18,22,2200.0,1118.7923129,0.5085419580975366,4,0,0,13,0,0.5555555555555556,-6.988331550265432,-0.006246317039565585,0.034049496652613954,-0.3997346249096741,15,0.17876418857543258,0.09893287855214503,10.10786317586954,,-0.006246317095396474,378.90230540000005,True,-2.366743947705156,-0.006246317095396474
1,9,20009,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,11,14,1400.0,477.2334791,0.34088105406513536,3,0,0,11,0,0.45454545454545453,13799.271874617147,28.915137327518174,0.0070568396294486396,13.515295763543081,10,0.20954104097765086,0.16718864132090588,5.981267579539546,,28.915137933408968,378.90230540000005,True,10956.01242392765,28.915137933408968
1,10,20010,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,29,29,2900.0,1478.1234232000002,0.5096977303803527,0,0,0,23,0,0.7241379310344828,13007.074370544595,8.79972137535597,0.03160803109133103,13.277872494153307,23,0.13530669825055514,0.07807140457406803,12.808787102725665,,8.799721434889033,378.90230540000005,True,3334.234738557251,8.799721434889033
