seed_index,folds,supported_folds,total_trades,requested_trades,total_filled_notional,mean_fill_rate,total_net_profit,mean_roi_pct,total_equal_capital_budget,total_equal_capital_net_profit,mean_equal_capital_roi,mean_sharpe,mean_unique_markets,mean_top_market_share,mean_market_hhi,mean_effective_markets,match_distance
10,5,5,739,765,36693.09813056972,0.5969374228181344,162449.30244020777,6.169467196997989,3647.232677577,24085.471631634467,6.169467220387697,16.95324274345584,60.8,0.0929837446019324,0.0455334745474799,28.627964383931527,3.843143039327373
0,5,5,379,394,26123.72499791937,0.6024460970623234,17760.726575017514,1.075172559038269,3647.232677577,5818.621201395936,1.0751725611141585,1.440204917951715,49.0,0.1190910996708274,0.0591930882009541,28.687247999632056,4.250964300470898
13,5,5,712,771,54090.6915048026,0.7098106641652506,214549.71986649983,4.571008305338003,3647.232677577,13776.062383007942,4.571008311578127,16.311600503068398,76.6,0.1376389162632093,0.0647931490028936,29.876665258729098,4.366219966161635
11,5,5,840,870,67727.06279207466,0.7338762925608276,509944.16346295434,5.960544159479556,3647.232677577,24136.50072294493,5.960544181116951,18.361762995819337,58.6,0.1116503361789066,0.0557615584038172,26.820442039721662,4.468294511632708
18,5,5,440,452,23446.26125199826,0.6114465587126241,96586.3380255464,4.99865873687579,3647.232677577,18293.396905714275,4.99865875510166,28.063852714143415,55.0,0.1288357236782532,0.056790018389347,22.9234481969112,4.5832169641030465
16,5,5,468,470,35702.34447155605,0.7411973385954254,123605.36055874018,3.7629711117070137,3647.232677577,15794.057075159057,3.7629711195674056,7.974616402030454,48.0,0.0890437566726561,0.0509064577153312,25.576870664291288,4.759203328993968
5,5,5,818,861,63373.61162960247,0.7776498645090687,358785.46626997646,4.719838332590444,3647.232677577,16211.008437063912,4.719838342292212,14.001545823819702,55.6,0.1246243786488332,0.0681126057841523,26.66527412514434,4.763586692660816
15,5,5,341,352,20741.066199859622,0.7167189705484768,48530.295774850914,2.688674786775036,3647.232677577,5747.409909992697,2.6886747996892586,52.905356400402844,41.4,0.0924503530695775,0.0493915418681425,22.649882509512818,4.9315083494518674
8,5,5,303,310,23464.28729199274,0.7081409088455113,128771.18466207554,4.740633768062417,3647.232677577,21712.601578437127,4.7406337851823865,9.76025634614579,40.8,0.1303942502954647,0.0611069157055367,22.79211842536917,5.028436505389579
12,5,5,260,277,19879.49825152736,0.7043443313722848,180367.0914630636,8.17716508284902,3647.232677577,27089.45253599212,8.177165107110094,18.3779528595224,36.8,0.148612710763916,0.0717901175747543,21.92615701221119,5.192510549316497
