fold,seed_index,seed,start,end,strategy,target_count,status,total_trades,requested_trades,total_requested_notional,total_filled_notional,fill_rate,skipped_liquidity,skipped_capital,capital_capped_trades,liquidity_capped_trades,market_exposure_capped_trades,win_rate,total_net_profit,roi_pct,max_drawdown,sharpe,unique_markets,top_market_share,market_hhi,effective_markets,reason,profit_per_filled_notional,equal_capital_budget,equal_capital_supported,equal_capital_net_profit,equal_capital_roi,match_distance,passes_caliper,match_rank,model_strategy,model_total_trades,model_fill_rate,model_market_hhi,model_top_market_share,model_effective_markets,model_total_net_profit,model_equal_capital_roi
1,15,20015,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,126,126,12600.0,8973.9506661,0.7122183062680807,0,0,0,62,0,0.5079365079365079,19950.61912770444,2.2231701340679537,0.1650171914765266,242.5847063386809,60,0.0891469130783257,0.0360069448547996,27.772420127077297,,2.223170136545313,378.9023054000001,True,842.364290033452,2.223170136545313,0.7989677867160302,True,1,model_top_pct_0.10,118,0.415672402735442,0.0269522718954445,0.0847091780669587,37.10262362591483,54314.86870044834,9.201935768859522
1,13,20013,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,104,104,10400.0,8474.7374167,0.8148785969760782,0,0,0,42,0,0.8269230769230769,113806.31607572745,13.428889928456789,0.004045174177557,19.45952754612248,63,0.0707986537515206,0.0295344655607479,33.85874709475105,,13.428889944302576,378.9023054000001,True,5088.2373588591245,13.428889944302576,0.8900516078522562,True,2,model_top_pct_0.10,118,0.415672402735442,0.0269522718954445,0.0847091780669587,37.10262362591483,54314.86870044834,9.201935768859522
1,16,20016,2026-03-19T08:59:49,2026-03-20T04:57:17,baseline_random_wallets,20,ok,69,71,7100.0,5148.813228599999,0.7251849607532606,2,0,0,31,0,0.5507246376811594,25679.747316526664,4.987508019131256,0.0727596352210196,13.249955601445906,45,0.0971097567149379,0.0439768394012236,22.73924214690554,,4.9875080288179685,378.9023054000001,True,1889.7782903201385,4.9875080288179685,1.011139201454292,True,3,model_top_pct_0.10,118,0.415672402735442,0.0269522718954445,0.0847091780669587,37.10262362591483,54314.86870044834,9.201935768859522
2,15,30015,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,138,147,14700.0,5193.4202265,0.3532938927188477,9,0,0,110,0,0.3333333333333333,17266.857023588298,3.3247563719636415,0.0754921300877332,11.206955768804344,76,0.1155308012508661,0.0388494167974929,25.74041214602049,,3.324756378365504,547.387,True,1819.928419684358,3.324756378365504,0.9647404478367713,True,1,model_top_pct_0.10,120,0.360973228576528,0.0202839860598936,0.0371850811093931,49.29997472130206,49912.94951452263,9.280085380532846
2,18,30018,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,226,229,22900.0,9083.510832,0.3966598614861747,3,0,0,152,0,0.8362831858407079,19603.40892224223,2.158131284613072,0.0940668943886845,87.4207586362312,113,0.1321075102120822,0.0424961298908789,23.531554580800364,,2.1581312869889504,547.387,True,1181.3330107910206,2.1581312869889504,1.2158627506764843,True,2,model_top_pct_0.10,120,0.360973228576528,0.0202839860598936,0.0371850811093931,49.29997472130206,49912.94951452263,9.280085380532846
2,8,30008,2026-03-20T04:57:19,2026-03-21T15:23:05,baseline_random_wallets,20,ok,94,95,9500.0,6794.909499200001,0.7152536307418385,1,0,0,48,0,0.4787234042553192,18591.701599116404,2.73612202987311,0.053406431749693,11.751569308930067,53,0.0735844973444999,0.0326029368606969,30.67208344673717,,2.736122033899833,547.387,True,1497.717631770328,2.736122033899833,1.2876153371994417,True,3,model_top_pct_0.10,120,0.360973228576528,0.0202839860598936,0.0371850811093931,49.29997472130206,49912.94951452263,9.280085380532846
3,17,40017,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,64,94,9400.0,3375.0557426,0.3590484828733526,30,0,0,70,0,0.359375,17137.19532998898,5.077603626780745,0.074086613616666,12.767212129349126,50,0.0888874207952763,0.0411951475180027,24.27470370297835,,5.077603641825249,379.6824775,True,1927.8771304912332,5.077603641825249,0.3222212676327203,True,1,model_top_pct_0.10,132,0.3023258822125284,0.0310621799095325,0.0979074233101576,32.193490698735964,19538.3711596852,3.73565639583586
3,18,40018,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,93,95,9500.0,5509.485009400001,0.5799457898526887,2,0,0,53,0,0.4731182795698925,29229.57619488782,5.3053191163901205,0.0579413675636626,13.83453309167425,73,0.0907525837981092,0.0298697220050782,33.4787180084899,,5.305319126019549,379.6824775,True,2014.3367096952372,5.305319126019549,0.5709993158797223,True,2,model_top_pct_0.10,132,0.3023258822125284,0.0310621799095325,0.0979074233101576,32.193490698735964,19538.3711596852,3.73565639583586
3,12,40012,2026-03-21T15:23:07,2026-03-25T02:47:33,baseline_random_wallets,20,ok,33,35,3500.0,2302.8169507,0.6579476983201494,2,0,0,20,0,0.8181818181818182,22.331678123944144,0.0096975480487845,0.0384385317207143,0.422892443256697,28,0.1302752265692709,0.0593840503880262,16.839538452931677,,0.0096975480908961,379.6824775,True,3.681989084826856,0.0096975480908961,0.9241573842562424,True,3,model_top_pct_0.10,132,0.3023258822125284,0.0310621799095325,0.0979074233101576,32.193490698735964,19538.3711596852,3.73565639583586
4,14,50014,2026-03-25T02:48:13,2026-03-29T10:24:44,baseline_random_wallets,20,ok,101,105,10500.0,7986.876991500001,0.7606549508469954,4,0,0,31,0,0.5247524752475248,59106.89021733866,7.400500872398298,0.0513092037334809,12.041895528014994,72,0.0626026919573348,0.0248414753406577,40.25525804271827,,7.400500881664123,1124.9568267,True,8325.243987827424,7.400500881664123,2.2469965839563595,True,1,model_top_pct_0.10,249,0.4149327677764735,0.0140809785826577,0.0329014196724053,71.0177914219406,78974.07952927459,6.495898334586446
4,2,50002,2026-03-25T02:48:13,2026-03-29T10:24:44,baseline_random_wallets,20,ok,349,381,38100.0,32241.21222728379,0.846226042488754,0,32,0,56,38,0.5673352435530086,152997.26577651908,4.745394331035506,0.208187571080445,9.934921728377567,70,0.0465243052719537,0.0267924120527606,37.32400046814608,,4.745394332507347,1124.9568267,True,5338.363749737629,4.745394332507347,2.4535028715652536,True,2,model_top_pct_0.10,249,0.4149327677764735,0.0140809785826577,0.0329014196724053,71.0177914219406,78974.07952927459,6.495898334586446
4,13,50013,2026-03-25T02:48:13,2026-03-29T10:24:44,baseline_random_wallets,20,ok,67,68,6800.0,4007.2735316,0.5893049302510222,1,0,0,41,0,0.7164179104477612,20035.67558517784,4.999827283359877,0.0431163865823657,13.972694980291458,50,0.0998184917614771,0.0364348568778924,27.4462447691614,,4.999827295836758,1124.9568267,True,5624.589848772561,4.999827295836758,2.613028521149816,True,3,model_top_pct_0.10,249,0.4149327677764735,0.0140809785826577,0.0329014196724053,71.0177914219406,78974.07952927459,6.495898334586446
5,13,60013,2026-03-29T10:25:18,2026-04-07T01:50:37,baseline_random_wallets,20,ok,323,371,37100.0,22162.23594789184,0.5973648501864741,30,18,0,169,20,0.718266253869969,35948.2414131371,1.622049394358882,0.0521761412209726,14.812936485076904,201,0.0487248181563618,0.0170047656581848,58.80704386647492,,1.62204939509078,1216.3040679770002,True,1972.905277708548,1.62204939509078,4.449914154967443,True,1,model_top_pct_0.10,811,0.5327927965551824,0.0062684596534277,0.0365630308899898,159.52882451004868,248667.41861358815,5.051130282279252
5,8,60008,2026-03-29T10:25:18,2026-04-07T01:50:37,baseline_random_wallets,20,ok,141,141,14100.0,11924.27449169274,0.8456932257614047,0,0,0,49,0,0.6879432624113475,84569.23112502042,7.092190901259041,0.0297649826740842,19.384707248022274,92,0.0754762900356748,0.0215272850555494,46.45267610010186,,7.092190907206732,1216.3040679770002,True,8626.26065130504,7.092190907206732,5.636299923001386,True,2,model_top_pct_0.10,811,0.5327927965551824,0.0062684596534277,0.0365630308899898,159.52882451004868,248667.41861358815,5.051130282279252
5,12,60012,2026-03-29T10:25:18,2026-04-07T01:50:37,baseline_random_wallets,20,ok,94,101,10100.0,7843.604189937725,0.7765944734823546,7,0,0,33,0,0.6382978723404256,36945.24395839611,4.710238178347836,0.0618589266831576,13.551236910093664,74,0.0509969639356796,0.0198684852910255,50.330963098213225,,4.710238184353033,1216.3040679770002,True,5729.081864769193,4.710238184353033,5.710301303215552,True,3,model_top_pct_0.10,811,0.5327927965551824,0.0062684596534277,0.0365630308899898,159.52882451004868,248667.41861358815,5.051130282279252
