address,predicted_label,predicted_probability,actual_label
0xd21515da28b7c0ec0d4e39454ea223c7c14d5395,0,0.0,0
0xc12396fe65fe8d4bb33469c709434a116032082b,0,0.0,0
0xc624392c4864259b328dd7b395d0e8ff8b4b8744,0,0.0,0
0xc6fa2acd0f7c5cbaab3c5559f12bd8e5af524fd5,0,0.0,0
0xc905b2cd2753731842289c2e4c00b6d5966fb394,0,0.0,0
0xc9988e1b0da5d2ed8f9cc27bf9a03cb204fcf060,0,0.0,0
0xc9dedabd471cb41682073518bdf0c8755a4079af,0,0.0,0
0xccdd06dc0bcb4ff1988613d995867b7a41f9f037,0,0.0,0
0xcd87a56ed2fddc85bd3a8dd20c75310155855264,0,0.0,0
0xd1f43d377e2ad3111d10c8e1fa4298e5d960c90b,0,0.0,0
0xd27d1e863b5b29af53495f7c072d492bdfdaa84f,0,0.0,0
0xdaef675717d3095aec6b1ef136d51dfa9a70f49c,0,0.0,0
0xd33598d273a7a1bb767a2624aacce62f1f9714a7,0,0.0,0
0xd496deb60063e51e45fe6adda381b77093ab00ec,0,0.0,0
0xd4c09d28eb267cea839877659d276dd195a40ba8,0,0.0,0
0xd5212b13c04793852d733488c588d4de5f9835e8,0,0.0,0
0xd6264c5141bb3808ceafa5e1cb5c214210d5e491,0,0.0,0
0xd64fc75a2ded764e785d51ed5ca5018d16cbac2f,0,0.0,0
0xd663f0f56e5c80d4716d46c776fabb4ec4c66abc,0,0.0,0
0xd7b69413e7e0699586ff77814992cff7e3ee8fa8,0,0.0,0
0xd7dad427f1bdbfc093b836e4daface65d0d6484b,0,0.0,0
0x83d80954c616377a97331e871563d35eb24652a1,0,0.0,0
0x835cfbe44088f63ad06aad4bd0a96ac24103d653,0,0.0,0
0x81b9b60299f8dfeb99c5f9f12d5f8f9d094f75b5,0,0.0,0
0x376b39515c3f70a5132cc7b23c939de3e42c646a,0,0.0,0
0x25489146747581fb10d9ada34b5ee167e68817a3,0,0.0,0
0x282bebefec98487bf62c0e0bea31c3a71c803999,0,0.0,0
0x2880b4fa48a096e57deff6b171c42daf83c3d888,0,0.0,0
0x29feeef4021c2b84b91a10423b2adf220142384f,0,0.0,0
0x2b0d4433fa3e36922d5754b3a879396f1bb43a90,0,0.0,0
0x2c41d0ca2b4b2344912eead711f28cd4dcff133e,0,0.0,0
0x2c691f548d4170570688fbbb67580120f7dd497a,0,0.0,0
0x2e9a9e4c6bb3f95515a889a4cae7de500542a5aa,0,0.0,0
0x30be23d0622ae9ea3072a0091c214c78cdcbf4c1,0,0.0,0
0x38207ca634b885c2ac43548b90164919c4e57656,0,0.0,0
0x219afb024a13832b01e915fc88c542a9fcefe971,0,0.0,0
0x3b8b50a234fc30f5bf27abbde28c12160fb30a0d,0,0.0,0
0x3d4112da9252dfe6904f469fe06d568e0fe9e3dd,0,0.0,0
