model,accuracy_mean,accuracy_std,auc_mean,auc_std,f1_mean,f1_std,precision_mean,recall_mean
Logistic Regression,0.528967032967033,0.03148259400677594,0.539296962770874,0.018210552829518497,0.3103538892152275,0.025579974035568137,0.22228947419164577,0.5195702581631123
Random Forest,0.5823296703296703,0.03890584189127551,0.5575995179887665,0.009949663073975462,0.3149279777639167,0.01305074222636529,0.23925514470683923,0.46941197047381467
XGBoost,0.5941098901098901,0.04736952602819382,0.5702438767514553,0.00863043374922354,0.3160109281488645,0.02665537057708043,0.2443743118038569,0.46310490339188853
Gaussian NB,0.7924395604395604,0.012163678633092189,0.5327611556521441,0.023543850707747956,0.0050402032014543185,0.001554702591775967,0.47857142857142854,0.0025609797961547
LightGBM,0.7943736263736264,0.010721671165476312,0.570381281955138,0.007267445926420623,0.0,0.0,0.0,0.0
